,date,name,code,group,value
4921,2017-01-01,Portugal,PT,Europe,10.3
3388,2018-01-01,Czech Republic,CZ,Europe,10.63
10903,2018-01-01,Grenada,GD,North America,0.11
8189,2018-01-01,Somalia,SO,Africa,15.01
2178,2017-01-01,Singapore,SG,Asia,5.61
11315,2017-01-01,Panama,PA,North America,4.11
11374,2017-01-01,Puerto Rico,PR,North America,3.33
2297,2018-01-01,Syrian Arab Republic,SY,Asia,16.91
5040,2018-01-01,Russian Federation,RU,Europe,144.48
9664,2018-01-01,Solomon Islands,SB,Oceania,0.65
3860,2018-01-01,Greece,GR,Europe,10.73
7009,2018-01-01,Guinea-Bissau,GW,Africa,1.87
9015,2018-01-01,Guam,GU,Oceania,0.17
12575,2017-01-01,"Venezuela, RB",VE,South America,29.39
4391,2018-01-01,Luxembourg,LU,Europe,0.61
2355,2017-01-01,Tajikistan,TJ,Asia,8.88
6485,2018-01-01,"Egypt, Arab Rep.",EG,Africa,98.42
9841,2018-01-01,Tuvalu,TV,Oceania,0.01
7657,2017-01-01,Mozambique,MZ,Africa,28.65
2857,2018-01-01,Albania,AL,Europe,2.87
