date,name,value
2001-06-30,C,20.2
2001-07-30,C,20.8
2001-08-30,C,20.8
2001-09-28,C,20.8
2001-10-26,C,19.8
2001-11-28,C,19.2
2001-12-31,C,20.1
2002-01-30,C,18.8
2002-02-27,C,19.9
2002-03-29,C,19.8
2002-04-29,C,19.8
2002-05-29,C,20.0
2002-06-29,C,19.6
2002-07-31,C,19.2
2002-08-29,C,18.2
2002-09-29,C,18.7
2002-10-30,C,18.7
2002-11-29,C,17.5
2002-12-31,C,17.3
2003-01-31,C,18.2
2003-02-28,C,18.5
2003-03-31,C,17.2
2003-04-30,C,18.0
2003-05-30,C,18.5
2003-06-30,C,18.5
2003-07-31,C,18.0
2003-08-31,C,17.8
2003-09-30,C,18.3
2003-10-31,C,17.0
2003-11-30,C,18.5
2003-12-31,C,18.6
2004-01-31,C,18.2
2004-02-29,C,18.9
2004-03-31,C,17.8
2004-04-30,C,18.0
2004-05-30,C,18.3
2004-06-30,C,17.1
2004-07-31,C,16.3
2004-08-30,C,17.1
2004-09-30,C,18.2
2004-10-31,C,18.0
2004-11-30,C,19.7
2004-12-31,C,20.7
2005-01-31,C,19.8
2005-02-28,C,19.5
2005-03-31,C,18.6
2005-04-30,C,18.5
2005-05-31,C,19.4
2005-06-30,C,19.8
2005-07-31,C,19.5
2005-08-31,C,19.2
2005-09-30,C,18.8
2005-12-03,C,19.6
2006-01-04,C,19.0
2006-02-02,C,18.3
2006-03-01,C,17.8
2006-04-02,C,17.7
2006-05-01,C,17.7
2006-06-01,C,18.2
2006-07-02,C,17.8
2006-08-02,C,17.4
2006-09-02,C,18.1
2006-10-01,C,17.7
2006-11-02,C,17.2
2006-12-01,C,16.6
2007-01-02,C,15.8
2007-02-03,C,16.1
2007-03-03,C,15.6
2007-04-01,C,14.9
2007-05-05,C,15.2
2007-06-02,C,16.0
2007-07-02,C,16.4
2007-08-05,C,15.7
2007-09-02,C,14.9
2007-10-04,C,14.6
2007-11-04,C,14.0
2007-12-03,C,13.2
2008-01-03,C,13.9
2008-02-07,C,14.9
2008-06-01,C,15.5
2008-07-02,C,16.0
2008-08-03,C,16.2
2008-09-03,C,15.4
2008-10-06,C,15.6
2008-11-02,C,15.3
2008-12-03,C,15.0
2009-01-02,C,15.9
2009-02-01,C,15.8
2009-03-05,C,15.9
2009-04-07,C,15.5
2009-05-01,C,16.1
2009-06-04,C,16.8
2009-07-02,C,17.3
2009-08-01,C,17.2
2009-09-05,C,16.9
2009-10-02,C,16.8
2009-11-02,C,17.3
2009-12-02,C,16.3
2010-01-05,C,16.2
2010-02-07,C,16.6
2010-03-07,C,17.3
2010-04-05,C,18.1
2010-05-15,C,18.2
2010-07-06,C,18.5
2010-09-11,C,17.2
2010-10-02,C,17.2
2010-11-03,C,16.7
2010-12-07,C,16.1
2011-01-02,C,15.8
2011-02-08,C,15.0
2011-03-08,C,15.3
2011-04-03,C,16.2
2011-05-02,C,16.2
2011-06-05,C,16.3
2011-07-08,C,17.3
2011-08-03,C,17.4
2011-09-10,C,18.0
2011-10-09,C,17.7
2011-11-07,C,17.3
2011-12-04,C,17.1
2012-01-08,C,17.0
2012-02-05,C,16.5
2012-03-11,C,17.1
2012-04-08,C,17.5
2012-05-09,C,17.3
2012-06-10,C,17.7
2012-07-04,C,18.3
2012-08-10,C,18.9
2012-09-02,C,19.3
2012-10-05,C,19.8
2012-11-04,C,19.2
2012-12-02,C,18.7
2013-01-05,C,17.8
2013-02-08,C,17.1
2013-03-11,C,17.1
2013-04-07,C,17.9
2013-05-08,C,18.7
2013-06-09,C,17.8
2013-07-07,C,17.6
2013-08-04,C,16.0
2013-09-11,C,17.0
2013-10-10,C,17.2
2013-11-09,C,18.2
2013-12-06,C,17.9
2014-01-01,C,17.9
2014-02-08,C,18.3
2014-03-03,C,17.5
2014-04-10,C,17.6
2014-05-07,C,16.9
2014-06-08,C,16.2
2014-07-06,C,17.1
2014-08-11,C,16.4
2014-09-01,C,16.7
2014-10-03,C,17.7
2014-11-08,C,17.5
2014-12-07,C,17.6
2015-01-06,C,16.7
2015-02-05,C,16.5
2015-03-07,C,16.6
2015-04-13,C,15.8
2015-05-13,C,16.8
2015-06-06,C,16.8
2015-07-12,C,16.2
2015-08-06,C,14.7
2015-09-05,C,15.6
2015-10-04,C,16.2
2015-11-07,C,17.2
2015-12-04,C,16.5
2016-01-02,C,16.0
2016-02-02,C,15.6
2016-03-03,C,14.6
2016-04-07,C,13.9
2016-05-06,C,13.2
2016-06-05,C,12.4
2016-07-04,C,12.2
2016-08-06,C,11.3
2016-09-08,C,11.0
2016-10-07,C,9.8
2016-11-05,C,9.2
2016-12-04,C,8.7
2017-01-07,C,9.4
2017-02-08,C,8.4
2017-03-07,C,7.7
2017-04-09,C,7.0
2017-05-06,C,7.0
2017-06-03,C,6.8
2017-07-07,C,7.3
2017-08-02,C,6.5
2017-09-06,C,7.4
2017-10-05,C,8.4
2017-11-12,C,9.3
2017-12-09,C,10.2
2018-01-03,C,11.0
2018-02-08,C,11.9
2018-03-07,C,12.8
2018-04-01,C,13.6
2018-05-06,C,14.0
2018-06-10,C,14.9
2018-07-07,C,14.7
2018-08-01,C,15.0
2018-09-03,C,15.4
2018-10-05,C,15.4
2018-11-08,C,14.4
2018-12-02,C,14.3
2019-01-04,C,13.3
2019-02-06,C,12.4
2019-03-02,C,13.3
2019-04-07,C,14.1
2019-05-04,C,14.2
2019-06-09,C,13.3
2019-07-06,C,14.2
2019-08-05,C,15.2
2019-09-09,C,15.2
2019-10-05,C,16.2
2019-11-03,C,16.0
2019-12-06,C,16.1
2020-01-05,C,15.8
2020-02-04,C,16.8
2020-03-04,C,16.3
2020-04-02,C,16.7
2020-05-02,C,17.1
2020-06-01,C,17.2
2001-06-30,Java,26.5
2001-07-30,Java,25.0
2001-08-30,Java,24.7
2001-09-28,Java,24.8
2001-10-26,Java,25.7
2001-11-28,Java,24.4
2001-12-31,Java,24.2
2002-01-30,Java,24.1
2002-02-27,Java,24.0
2002-03-29,Java,24.4
2002-04-29,Java,25.0
2002-05-29,Java,25.2
2002-06-29,Java,24.2
2002-07-31,Java,24.5
2002-08-29,Java,22.9
2002-09-29,Java,24.5
2002-10-30,Java,24.2
2002-11-29,Java,24.1
2002-12-31,Java,24.2
2003-01-31,Java,24.8
2003-02-28,Java,24.8
2003-03-31,Java,24.6
2003-04-30,Java,24.7
2003-05-30,Java,23.1
2003-06-30,Java,22.3
2003-07-31,Java,23.2
2003-08-31,Java,22.2
2003-09-30,Java,21.9
2003-10-31,Java,23.1
2003-11-30,Java,25.0
2003-12-31,Java,23.6
2004-01-31,Java,22.6
2004-02-29,Java,23.2
2004-03-31,Java,24.2
2004-04-30,Java,18.7
2004-05-30,Java,17.5
2004-06-30,Java,17.0
2004-07-31,Java,17.0
2004-08-30,Java,15.9
