name,value,date
Apple,214480,1/1/2018
Apple,211447.4,1/10/2017
Apple,208414.8,1/9/2017
Apple,205382.2,1/8/2017
Apple,202349.6,1/7/2017
Apple,199317,1/6/2017
Apple,196284.4,1/5/2017
Apple,193251.8,1/4/2017
Apple,190219.2,1/3/2017
Apple,187186.6,1/2/2017
Apple,184154,1/1/2017
Apple,183550.5,1/10/2016
Apple,182947,1/9/2016
Apple,182343.5,1/8/2016
Apple,181740,1/7/2016
Apple,181136.5,1/6/2016
Apple,180533,1/5/2016
Apple,179929.5,1/4/2016
Apple,179326,1/3/2016
Apple,178722.5,1/2/2016
Apple,178119,1/1/2016
Apple,177334.7,1/10/2015
Apple,176550.4,1/9/2015
Apple,175766.1,1/8/2015
Apple,174981.8,1/7/2015
Apple,174197.5,1/6/2015
Apple,173413.2,1/5/2015
Apple,172628.9,1/4/2015
Apple,171844.6,1/3/2015
Apple,171060.3,1/2/2015
Apple,170276,1/1/2015
Apple,165134.7,1/10/2014
Apple,159993.4,1/9/2014
Google,155506,1/1/2018
Apple,154852.1,1/8/2014
Google,154125.7,1/10/2017
Google,152745.4,1/9/2017
Google,151365.1,1/8/2017
Google,149984.8,1/7/2017
Apple,149710.8,1/7/2014
Google,148604.5,1/6/2017
Google,147224.2,1/5/2017
Google,145843.9,1/4/2017
Apple,144569.5,1/6/2014
Google,144463.6,1/3/2017
Google,143083.3,1/2/2017
Google,141703,1/1/2017
Google,140857.9,1/10/2016
Google,140012.8,1/9/2016
Apple,139428.2,1/5/2014
Google,139167.7,1/8/2016
Google,138322.6,1/7/2016
Google,137477.5,1/6/2016
Google,136632.4,1/5/2016
Google,135787.3,1/4/2016
Google,134942.2,1/3/2016
Apple,134286.9,1/4/2014
Google,134097.1,1/2/2016
Google,133252,1/1/2016
Google,131958.2,1/10/2015
Google,130664.4,1/9/2015
Google,129370.6,1/8/2015
Apple,129145.6,1/3/2014
Google,128076.8,1/7/2015
Google,126783,1/6/2015
Google,125489.2,1/5/2015
Google,124195.4,1/4/2015
Apple,124004.3,1/2/2014
Google,122901.6,1/3/2015
Google,121607.8,1/2/2015
Google,120314,1/1/2015
Google,119026.5,1/10/2014
Apple,118863,1/1/2014
Google,117739,1/9/2014
Apple,116808.3,1/10/2013
Google,116451.5,1/8/2014
Google,115164,1/7/2014
Apple,114753.6,1/9/2013
Google,113876.5,1/6/2014
Apple,112698.9,1/8/2013
Google,112589,1/5/2014
Google,111301.5,1/4/2014
Apple,110644.2,1/7/2013
Google,110014,1/3/2014
Google,108726.5,1/2/2014
Apple,108589.5,1/6/2013
Google,107439,1/1/2014
Apple,106534.8,1/5/2013
Google,106024.2,1/10/2013
Google,104609.4,1/9/2013
Apple,104480.1,1/4/2013
Google,103194.6,1/8/2013
Apple,102425.4,1/3/2013
Google,101779.8,1/7/2013
Amazon,100764,1/1/2018
Apple,100370.7,1/2/2013
Google,100365,1/6/2013
Google,98950.2,1/5/2013
Apple,98316,1/1/2013
Google,97535.4,1/4/2013
Amazon,97167.2,1/10/2017
Apple,96141.2,1/10/2012
Google,96120.6,1/3/2013
Google,94705.8,1/2/2013
Apple,93966.4,1/9/2012
Amazon,93570.4,1/9/2017
Google,93291,1/1/2013
Microsoft,92715,1/1/2018
Apple,91791.6,1/8/2012
Microsoft,91443.4,1/10/2017
Google,90934.5,1/10/2012
Microsoft,90171.8,1/9/2017
Amazon,89973.6,1/8/2017
Apple,89616.8,1/7/2012
Microsoft,88900.2,1/8/2017
Google,88578,1/9/2012
Microsoft,87628.6,1/7/2017
Apple,87442,1/6/2012
Amazon,86376.8,1/7/2017
Microsoft,86357,1/6/2017
Google,86221.5,1/8/2012
Apple,85267.2,1/5/2012
Microsoft,85085.4,1/5/2017
Google,83865,1/7/2012
Microsoft,83813.8,1/4/2017
Apple,83092.4,1/4/2012
Amazon,82780,1/6/2017
Microsoft,82542.2,1/3/2017
Coca-Cola,81563,1/1/2014
Google,81508.5,1/6/2012
Coca-Cola,81328,1/10/2013
Microsoft,81270.6,1/2/2017
Coca-Cola,81249,1/2/2014
Coca-Cola,81093,1/9/2013
Coca-Cola,80935,1/3/2014
Apple,80917.6,1/3/2012
Coca-Cola,80858,1/8/2013
Coca-Cola,80623,1/7/2013
Coca-Cola,80621,1/4/2014
Coca-Cola,80388,1/6/2013
Coca-Cola,80307,1/5/2014
Coca-Cola,80153,1/5/2013
Microsoft,79999,1/1/2017
Coca-Cola,79993,1/6/2014
Coca-Cola,79918,1/4/2013
Coca-Cola,79683,1/3/2013
Coca-Cola,79679,1/7/2014
Coca-Cola,79448,1/2/2013
Coca-Cola,79365,1/8/2014
Microsoft,79278.6,1/10/2016
Coca-Cola,79213,1/1/2013
Amazon,79183.2,1/5/2017
Google,79152,1/5/2012
Coca-Cola,79075.6,1/10/2012
Coca-Cola,79051,1/9/2014
Coca-Cola,78938.2,1/9/2012
IBM,78808,1/1/2013
Coca-Cola,78800.8,1/8/2012
Apple,78742.8,1/2/2012
Coca-Cola,78737,1/10/2014
Coca-Cola,78663.4,1/7/2012
Microsoft,78558.2,1/9/2016
Coca-Cola,78526,1/6/2012
IBM,78480.4,1/10/2012
Coca-Cola,78423,1/1/2015
Coca-Cola,78388.6,1/5/2012
Coca-Cola,78251.2,1/4/2012
IBM,78152.8,1/9/2012
IBM,78151.6,1/2/2013
Coca-Cola,78113.8,1/3/2012
Coca-Cola,77976.4,1/2/2012
Coca-Cola,77890.9,1/2/2015
Coca-Cola,77839,1/1/2012
Microsoft,77837.8,1/8/2016
IBM,77825.2,1/8/2012
IBM,77497.6,1/7/2012
IBM,77495.2,1/3/2013
Coca-Cola,77358.8,1/3/2015
Coca-Cola,77241.2,1/10/2011
IBM,77170,1/6/2012
Microsoft,77117.4,1/7/2016
IBM,76842.4,1/5/2012
IBM,76838.8,1/4/2013
Coca-Cola,76826.7,1/4/2015
Google,76795.5,1/4/2012
Coca-Cola,76643.4,1/9/2011
Apple,76568,1/1/2012
IBM,76514.8,1/4/2012
Microsoft,76397,1/6/2016
Coca-Cola,76294.6,1/5/2015
IBM,76187.2,1/3/2012
IBM,76182.4,1/5/2013
Coca-Cola,76045.6,1/8/2011
IBM,75859.6,1/2/2012
Coca-Cola,75762.5,1/6/2015
Microsoft,75676.6,1/5/2016
Amazon,75586.4,1/4/2017
IBM,75532,1/1/2012
IBM,75526,1/6/2013
Coca-Cola,75447.8,1/7/2011
Coca-Cola,75230.4,1/7/2015
IBM,74969.3,1/10/2011
Microsoft,74956.2,1/4/2016
IBM,74869.6,1/7/2013
Coca-Cola,74850,1/6/2011
Coca-Cola,74698.3,1/8/2015
Google,74439,1/3/2012
IBM,74406.6,1/9/2011
Coca-Cola,74252.2,1/5/2011
Microsoft,74235.8,1/3/2016
IBM,74213.2,1/8/2013
Coca-Cola,74166.2,1/9/2015
IBM,73843.9,1/8/2011
Coca-Cola,73654.4,1/4/2011
Coca-Cola,73634.1,1/10/2015
IBM,73556.8,1/9/2013
Microsoft,73515.4,1/2/2016
IBM,73281.2,1/7/2011
Coca-Cola,73102,1/1/2016
Coca-Cola,73056.6,1/3/2011
IBM,72900.4,1/10/2013
Microsoft,72795,1/1/2016
Coca-Cola,72765.1,1/2/2016
IBM,72718.5,1/6/2011
Coca-Cola,72537,1/1/2000
Coca-Cola,72458.8,1/2/2011
Coca-Cola,72428.2,1/3/2016
Microsoft,72282.5,1/10/2015
Apple,72260.4,1/10/2011
IBM,72244,1/1/2014
Coca-Cola,72177.8,1/2/2000
IBM,72155.8,1/5/2011
Coca-Cola,72091.3,1/4/2016
Google,72082.5,1/2/2012
Amazon,71989.6,1/3/2017
Coca-Cola,71861,1/1/2011
Coca-Cola,71818.6,1/3/2000
Microsoft,71770,1/9/2015
Coca-Cola,71754.4,1/5/2016
Coca-Cola,71720.1,1/10/2010
IBM,71593.1,1/4/2011
Coca-Cola,71579.2,1/9/2010
IBM,71529.1,1/2/2014
Coca-Cola,71459.4,1/4/2000
Coca-Cola,71438.3,1/8/2010
Coca-Cola,71417.5,1/6/2016
Coca-Cola,71297.4,1/7/2010
Microsoft,71257.5,1/8/2015
Coca-Cola,71156.5,1/6/2010
Coca-Cola,71100.2,1/5/2000
Coca-Cola,71080.6,1/7/2016
IBM,71030.4,1/3/2011
Coca-Cola,71015.6,1/5/2010
Coca-Cola,70874.7,1/4/2010
IBM,70814.2,1/3/2014
Microsoft,70745,1/7/2015
Coca-Cola,70743.7,1/8/2016
Coca-Cola,70741,1/6/2000
Coca-Cola,70733.8,1/3/2010
Coca-Cola,70592.9,1/2/2010
IBM,70467.7,1/2/2011
Coca-Cola,70453,1/1/2003
Coca-Cola,70452,1/1/2010
Coca-Cola,70406.8,1/9/2016
Coca-Cola,70381.8,1/7/2000
Coca-Cola,70371.4,1/10/2002
Coca-Cola,70289.8,1/9/2002
Coca-Cola,70280.2,1/10/2009
Microsoft,70232.5,1/6/2015
Coca-Cola,70208.2,1/8/2002
Microsoft,70196,1/1/2000
Coca-Cola,70147.1,1/2/2003
Coca-Cola,70126.6,1/7/2002
Coca-Cola,70108.4,1/9/2009
IBM,70099.3,1/4/2014
Coca-Cola,70069.9,1/10/2016
Coca-Cola,70045,1/6/2002
Coca-Cola,70022.6,1/8/2000
Coca-Cola,69963.4,1/5/2002
Coca-Cola,69936.6,1/8/2009
IBM,69905,1/1/2011
Coca-Cola,69881.8,1/4/2002
Coca-Cola,69841.2,1/3/2003
Coca-Cola,69800.2,1/3/2002
Coca-Cola,69764.8,1/7/2009
Coca-Cola,69733,1/1/2017
Google,69726,1/1/2012
Microsoft,69720,1/5/2015
Coca-Cola,69718.6,1/2/2002
Microsoft,69683.2,1/2/2000
Coca-Cola,69663.4,1/9/2000
Coca-Cola,69637,1/1/2002
Coca-Cola,69593,1/6/2009
Coca-Cola,69567.8,1/10/2001
Coca-Cola,69535.3,1/4/2003
Coca-Cola,69498.6,1/9/2001
Coca-Cola,69429.4,1/8/2001
Coca-Cola,69421.2,1/5/2009
Coca-Cola,69393.8,1/2/2017
IBM,69387.2,1/10/2010
IBM,69384.4,1/5/2014
Coca-Cola,69360.2,1/7/2001
Coca-Cola,69304.2,1/10/2000
Coca-Cola,69291,1/6/2001
Coca-Cola,69249.4,1/4/2009
Coca-Cola,69229.4,1/5/2003
