,year,value,name,icon
0,1930,0,Algeria,algeria.svg.png
1,1934,0,Algeria,algeria.svg.png
2,1938,0,Algeria,algeria.svg.png
3,1950,0,Algeria,algeria.svg.png
4,1954,0,Algeria,algeria.svg.png
5,1958,0,Algeria,algeria.svg.png
6,1962,0,Algeria,algeria.svg.png
7,1966,0,Algeria,algeria.svg.png
8,1970,0,Algeria,algeria.svg.png
9,1974,0,Algeria,algeria.svg.png
10,1978,0,Algeria,algeria.svg.png
11,1982,5,Algeria,algeria.svg.png
12,1986,6,Algeria,algeria.svg.png
13,1990,6,Algeria,algeria.svg.png
14,1994,6,Algeria,algeria.svg.png
15,1998,6,Algeria,algeria.svg.png
16,2002,6,Algeria,algeria.svg.png
17,2006,6,Algeria,algeria.svg.png
18,2010,6,Algeria,algeria.svg.png
19,2014,13,Algeria,algeria.svg.png
20,2018,13,Algeria,algeria.svg.png
21,1930,0,Angola,angola.svg.png
22,1934,0,Angola,angola.svg.png
23,1938,0,Angola,angola.svg.png
24,1950,0,Angola,angola.svg.png
25,1954,0,Angola,angola.svg.png
26,1958,0,Angola,angola.svg.png
27,1962,0,Angola,angola.svg.png
28,1966,0,Angola,angola.svg.png
29,1970,0,Angola,angola.svg.png
30,1974,0,Angola,angola.svg.png
31,1978,0,Angola,angola.svg.png
32,1982,0,Angola,angola.svg.png
33,1986,0,Angola,angola.svg.png
34,1990,0,Angola,angola.svg.png
35,1994,0,Angola,angola.svg.png
36,1998,0,Angola,angola.svg.png
37,2002,0,Angola,angola.svg.png
38,2006,1,Angola,angola.svg.png
39,2010,1,Angola,angola.svg.png
40,2014,1,Angola,angola.svg.png
41,2018,1,Angola,angola.svg.png
42,1930,18,Argentina,argentina.svg.png
43,1934,20,Argentina,argentina.svg.png
44,1938,20,Argentina,argentina.svg.png
45,1950,20,Argentina,argentina.svg.png
46,1954,20,Argentina,argentina.svg.png
47,1958,25,Argentina,argentina.svg.png
48,1962,27,Argentina,argentina.svg.png
49,1966,31,Argentina,argentina.svg.png
50,1970,31,Argentina,argentina.svg.png
51,1974,40,Argentina,argentina.svg.png
52,1978,55,Argentina,argentina.svg.png
53,1982,63,Argentina,argentina.svg.png
54,1986,77,Argentina,argentina.svg.png
55,1990,82,Argentina,argentina.svg.png
56,1994,90,Argentina,argentina.svg.png
57,1998,100,Argentina,argentina.svg.png
58,2002,102,Argentina,argentina.svg.png
59,2006,113,Argentina,argentina.svg.png
60,2010,123,Argentina,argentina.svg.png
61,2014,131,Argentina,argentina.svg.png
62,2018,137,Argentina,argentina.svg.png
63,1930,0,Australia,australia.svg.png
64,1934,0,Australia,australia.svg.png
65,1938,0,Australia,australia.svg.png
66,1950,0,Australia,australia.svg.png
