    date                name code    group  value
1999-01-01    Egypt, Arab Rep.   EG   Africa  67.52
1993-01-01               Gabon   GA   Africa   1.03
2002-01-01            Slovenia   SI   Europe   1.99
1961-01-01             Namibia  NaN   Africa   0.65
1979-01-01    French Polynesia   PF  Oceania   0.15
1964-01-01             Denmark   DK   Europe   4.72
2002-01-01             Finland   FI   Europe   5.20
1960-01-01  Iran, Islamic Rep.   IR     Asia  21.91
1980-01-01            Tanzania   TZ   Africa  18.54
1981-01-01         Switzerland   CH   Europe   6.35
